#{"t_start": 1662268370.512798, "env_id": "highway-fast-v0"}
r,l,t
125.892275,129,2304.460825
488.874555,500,2321.165253
118.986018,122,2325.181192
491.270052,500,2341.807489
145.336961,149,2346.88973
27.581745,29,2347.875273
60.777052,63,2350.00044
490.12293,500,2366.532979
269.098612,276,2375.90871
137.423038,141,2380.721585
490.296788,500,2397.285377
64.566333,67,2399.598058
92.194816,95,2402.863937
77.496859,80,2405.489143
489.159978,500,2422.099813
31.445946,33,2423.209275
126.725099,130,2427.600241
112.163394,115,2431.506796
286.784194,293,2441.11692
145.115914,149,2445.961048
32.371675,34,2447.19552
63.038432,65,2449.367564
97.219766,100,2452.711575
83.379846,86,2455.649305
27.425552,29,2456.696261
79.377988,82,2459.540233
73.652422,76,2462.102933
66.918553,69,2464.38436
108.868497,112,2468.181531
110.823818,114,2471.994329
180.613534,185,2478.260442
493.5347,500,2494.791193
125.601803,129,2499.088402
278.192661,285,2508.526638
244.908405,251,2516.94917
227.194909,233,2524.777906
489.585454,500,2541.529212
87.147312,90,2544.545074
170.469084,175,2550.404905
47.031334,49,2552.123789
213.91323,219,2559.436859
36.25634,38,2560.780716
299.800749,306,2571.031513
283.782856,290,2580.813526
103.418357,106,2584.39193
89.366177,92,2587.407792
92.286313,95,2590.720549
96.222752,99,2593.986429
170.636143,175,2600.080654
184.158911,188,2606.445334
69.731908,72,2608.867398
26.448253,28,2609.836222
136.120608,140,2614.47721
249.984933,256,2623.087257
389.053257,398,2636.54143
262.00323,268,2645.464002
211.229447,216,2652.745819
89.948509,92,2655.980446
430.721002,439,2670.731598
70.464191,73,2673.32555
235.428036,241,2681.373052
92.537895,95,2684.592053
121.096276,124,2688.77988
489.508045,500,2705.437429
27.396424,29,2706.468759
89.49589,92,2709.500246
491.694441,500,2726.314057
322.329765,329,2737.596187
62.995065,65,2739.877616
185.386134,190,2746.237486
50.948161,53,2748.08138
34.332563,36,2749.331478
16.685458,18,2749.909648
308.192905,314,2760.488598
93.371142,96,2763.723225
488.496381,500,2780.583537
211.665984,216,2787.86586
253.970845,259,2796.694674
86.40655,89,2799.664181
428.861561,437,2814.321574
57.910679,60,2816.431114
488.694176,500,2832.97928
98.13005,101,2836.526431
54.775275,57,2838.401577
54.727642,57,2840.261097
106.902688,110,2844.042643
220.2052,226,2851.543228
47.161448,49,2853.199606
320.074116,328,2864.200466
489.650631,500,2880.514237
63.628361,66,2882.73316
489.708849,500,2899.406336
159.597916,164,2904.906765
153.141256,157,2910.391567
20.563591,22,2911.172879
489.780631,500,2928.002316
124.905022,128,2932.330779
48.151731,50,2934.018409
116.609331,120,2938.190611
149.890462,153,2943.269132
75.279658,78,2945.925589
198.293138,203,2952.691741
46.036071,48,2954.316868
30.390531,32,2955.473208
188.195514,192,2961.926837
283.661906,290,2971.630719
235.563174,242,2979.77198
146.698718,151,2984.913004
81.640832,84,2987.694472
155.051534,160,2993.163648
83.385658,86,2996.054499
158.507317,163,3001.476797
151.618734,155,3006.774085
488.963256,500,3023.525391
488.981781,500,3040.026678
488.205982,500,3056.574844
491.230399,500,3073.341776
225.306759,230,3081.082928
65.83119,68,3083.38052
37.297536,39,3084.724376
388.769734,397,3098.187104
488.946024,500,3114.798294
489.072104,500,3131.440216
378.932789,385,3144.222463
256.859779,263,3153.113781
45.943432,48,3154.817039
248.72186,255,3163.458338
61.914325,64,3165.661636
79.406727,82,3168.505607
388.459916,399,3181.694136
63.702992,66,3183.913059
490.753568,500,3200.648739
44.59803,46,3202.289491
57.819829,60,3204.258395
487.584852,500,3221.103459
63.752835,66,3223.29113
487.358798,500,3240.089315
487.812876,500,3256.856248
86.761229,89,3259.918987
62.753622,65,3262.044152
489.026456,500,3278.717329
205.198928,210,3285.874136
297.839673,305,3296.234319
489.819225,500,3313.188766
154.890212,159,3318.442446
66.929146,69,3320.895764
274.281676,281,3330.521514
120.474827,124,3334.787471
64.891005,67,3336.990768
208.84652,214,3344.319465
23.534839,25,3345.16328
59.883544,62,3347.19469
138.092742,142,3352.007564
397.118826,407,3365.618001
488.632828,500,3382.14944
116.958962,120,3386.087247
185.378491,190,3392.712763
66.535995,69,3395.04107
59.827555,62,3397.16642
53.008237,55,3399.010314
490.138022,500,3415.714742
124.279619,127,3419.949447
32.256268,34,3421.105787
291.947761,299,3431.153446
323.801219,332,3442.232434
176.869622,182,3448.357913
34.275167,36,3449.576757
223.236413,229,3457.264857
83.412657,86,3460.108829
83.267198,86,3463.015306
488.440449,500,3479.657229
33.365225,35,3480.844821
34.519348,36,3482.17305
489.056135,500,3498.799348
304.771865,309,3509.128278
261.68503,267,3518.050848
488.570151,500,3534.646862
430.659408,440,3549.319881
488.790666,500,3566.086814
273.055527,279,3575.40004
340.422413,348,3587.150957
482.182034,493,3603.761627
488.777429,500,3620.512933
142.725089,147,3625.513323
96.487991,99,3628.857335
330.605407,339,3640.295726
315.571231,322,3650.999686
488.55927,500,3667.564362
168.89319,173,3673.330437
205.187486,210,3680.377862
86.295316,89,3683.393722
488.877374,500,3699.973139
310.425764,317,3710.63022
73.540822,76,3713.177295
106.299042,109,3716.865081
37.314586,39,3718.224563
488.324698,500,3735.054114
117.233762,121,3739.179436
378.963829,389,3752.102319
490.338883,500,3768.759869
489.616236,500,3785.261155
31.34523,33,3786.401869
49.18576,51,3788.152005
341.49948,348,3799.902922
488.19143,500,3816.529219
489.080391,500,3833.280525
135.631602,139,3837.905886
261.542062,267,3846.594063
103.433794,106,3850.219346
51.242312,53,3852.06324
488.468505,500,3868.627087
214.970736,220,3875.877653
117.314974,120,3880.06548
208.587836,214,3887.269166
489.741527,500,3903.895463
257.53079,264,3912.583641
60.78678,63,3914.661928
122.654796,126,3918.881007
331.684026,340,3930.069862
73.646803,76,3932.601309
493.649388,500,3949.227606
233.695585,238,3957.134473
206.070488,210,3964.244402
490.892561,500,3980.82382
475.868975,486,3996.888062
238.095111,243,4005.091828
125.452838,128,4009.404664
236.55284,242,4017.389661
150.520655,154,4022.718201
220.947776,227,4030.187534
124.950989,128,4034.438316
190.89092,195,4041.001328
62.173274,64,4043.110868
29.624142,31,4044.204704
489.602406,500,4060.940383
204.641393,209,4067.909677
238.766301,243,4075.925926
200.35293,205,4082.801463
173.403897,178,4088.801932
136.753304,141,4093.521049
243.158161,249,4101.787318
488.072573,500,4118.491747
489.322356,500,4135.164922
57.886251,60,4137.180949
489.740355,500,4153.810362
72.937917,75,4156.341809
447.719759,456,4171.624251
223.681253,229,4179.281099
108.173827,111,4183.031391
42.095961,44,4184.515882
299.616565,305,4194.735429
119.787898,123,4198.938882
72.57739,75,4201.564087
489.622806,500,4218.268514
488.854196,500,4235.021995
168.150806,172,4240.803695
490.4506,500,4257.52375
491.877315,500,4274.400066
488.415072,500,4290.8701
309.213614,316,4301.418811
468.251506,478,4317.451311
187.890123,192,4323.873687
50.295463,52,4325.592572
390.165981,398,4338.859231
338.322216,345,4350.719531
489.481031,500,4367.25207
79.44633,82,4370.174174
30.449474,32,4371.252382
49.747397,52,4372.971266
262.423514,268,4381.909539
145.195554,149,4386.941182
151.30246,155,4392.004076
82.116241,85,4394.863675
120.282347,123,4399.067127
188.181667,193,4405.494611
99.647342,102,4408.948006
449.135021,456,4424.38671
70.53225,73,4426.996288
346.296992,353,4438.731578
356.332207,363,4450.982534
398.796452,406,4464.593583
331.855252,337,4476.031975
314.199605,319,4486.751561
493.370799,500,4503.440734
144.996305,148,4508.426033
489.960792,500,4525.099209
137.456217,140,4529.865205
490.507767,500,4546.616512
155.136401,158,4551.945053
491.752071,500,4568.868248
69.197718,71,4571.25906
30.506678,32,4572.352895
55.885794,58,4574.274919
376.563873,383,4587.104045
244.084752,248,4595.43282
284.590555,291,4605.105958
261.992895,269,4614.012903
19.697563,21,4614.80984
175.842849,180,4620.825935
170.091083,174,4626.607636
53.200841,55,4628.40465
286.150669,292,4638.296229
333.445634,340,4649.640864
171.121922,174,4655.61008
139.983211,144,4660.563591
369.897091,379,4673.25208
235.379003,240,4681.31521
60.988027,63,4683.456001
115.303236,118,4687.487566
98.359656,101,4691.128475
40.307196,42,4692.581713
279.697509,285,4702.082454
292.887414,299,4712.161364
371.681452,379,4724.974865
314.601217,321,4735.585067
180.357351,184,4741.679293
155.482309,159,4747.179722
469.366497,479,4763.071586
488.649497,500,4779.533732
96.390422,99,4782.877742
488.201843,500,4799.363403
78.392749,81,4802.113618
406.526567,416,4815.849951
109.077192,112,4819.61587
491.012181,500,4836.600104
241.127084,247,4844.960131
237.699167,243,4853.210774
44.257024,46,4854.757769
489.082052,500,4871.462197
280.115575,286,4880.994191
476.672473,488,4897.073571
419.386538,428,4911.24655
139.836517,144,4916.168809
114.779358,118,4920.12235
165.123305,169,4925.966556
331.921368,338,4937.295564
195.055633,200,4943.952333
488.920148,500,4960.422368
222.452066,228,4968.079215
490.671774,500,4984.705512
80.046325,82,4987.424474
491.757446,500,5004.175781
254.395281,260,5012.738949
118.135697,121,5016.754886
489.667157,500,5033.428062
268.63592,275,5042.678783
491.338284,500,5059.475627
258.863411,265,5068.273189
287.339541,294,5077.977071
109.746377,113,5081.742989
92.554194,95,5084.915111
53.004942,55,5086.75907
66.626203,69,5089.056124
43.303081,45,5090.603119
73.410409,76,5093.197072
122.983329,126,5097.338021
95.502943,98,5100.6039
129.568617,133,5105.151129
489.97115,500,5121.668043
50.109089,52,5123.496311
263.97162,269,5132.372511
325.920029,332,5143.498379
70.799033,73,5145.936069
313.075624,318,5156.483766
57.998107,60,5158.483922
126.121528,129,5162.687376
196.779496,202,5169.297266
169.630971,174,5175.063341
122.484557,125,5179.277619
392.429204,402,5192.481774
275.636088,282,5201.967384
352.359938,360,5213.921442
282.089252,289,5223.578445
142.383244,146,5228.422572
195.141756,200,5235.136753
239.299037,245,5243.309344
472.404624,483,5259.451228
82.358046,84,5262.310826
313.156275,320,5273.015056
158.085461,162,5278.343596
289.174581,294,5288.116519
219.227589,225,5295.63273
330.010611,337,5306.83673
237.337949,244,5314.85298
176.289862,181,5320.853447
43.110093,45,5322.384817
72.516421,75,5324.822507
33.329655,35,5325.994474
113.133568,116,5329.885402
390.945039,400,5343.089557
114.720191,118,5347.089869
240.80076,245,5355.246755
50.348759,52,5357.012517
428.045871,436,5371.685537
477.990092,488,5388.077441
25.814843,27,5388.968135
108.186838,111,5392.718428
275.917437,281,5401.906644
50.00599,52,5403.734912
490.573916,500,5420.033058
488.921538,500,5436.488446
488.854763,500,5453.255378
249.860034,255,5461.693537
488.814669,500,5478.022934
490.639832,500,5494.727363
490.014173,500,5511.478669
489.27232,500,5528.245601
208.478785,213,5535.230522
330.179023,335,5546.450146
494.026721,500,5562.998313
477.992063,486,5578.983937
489.812052,500,5595.625858
345.3519,353,5607.220512
488.921162,500,5624.018698
488.509139,500,5640.488817
490.323749,500,5657.287003
246.690538,251,5665.740787
398.93398,408,5679.351224
488.845148,500,5696.367058
173.057958,177,5702.258143
72.801794,75,5704.727085
131.301686,135,5709.196183
104.298097,107,5712.821466
489.625799,500,5729.307127
200.39143,205,5736.182663
489.948318,500,5752.980849
488.487633,500,5769.66965
117.96025,121,5773.716841
388.583197,396,5786.811611
111.32817,114,5790.749419
490.283125,500,5807.313211
139.767553,143,5812.110459
91.415224,94,5815.251329
490.402642,500,5831.941068
491.079397,500,5848.270467
298.05891,304,5858.396257
492.079893,500,5874.91317
101.125256,104,5878.5072
489.067049,500,5895.102244
59.003381,61,5897.102401
490.151991,500,5913.822455
151.127162,154,5918.947855
104.261906,107,5922.573137
158.880335,163,5927.964183
489.670923,500,5944.492027
489.093456,500,5961.011937
235.315996,241,5969.024071
162.201904,165,5974.461995
489.611409,500,5990.93299
350.64715,358,6002.808916
175.325173,179,6008.809385
60.599807,63,6010.887671
490.633046,500,6027.357707
158.363284,162,6032.858135
439.564016,449,6047.874931
491.292104,500,6064.376218
216.807149,222,6071.76742
282.697654,288,6081.377544
488.520113,500,6097.894457
488.715236,500,6114.41137
488.284554,498,6131.023033
488.961093,500,6147.633703
203.349218,208,6154.540493
241.978756,248,6162.853642
491.389316,500,6179.198666
62.659465,65,6181.308205
48.578515,50,6182.995836
491.353993,500,6199.590881
237.766537,243,6207.652871
151.30436,154,6212.856401
180.877182,185,6219.075636
184.735195,189,6225.466761
490.030085,500,6242.046178
24.575194,26,6242.968125
490.871373,500,6259.31315
120.562786,124,6263.44763
440.060184,449,6278.688666
207.493746,211,6285.673586
23.630913,25,6286.526467
129.141916,132,6290.987388
462.866818,472,6306.582354
277.712683,283,6316.020591
490.907076,500,6332.381241
168.494561,172,6338.209821
265.829766,271,6347.194897
112.547961,116,6351.070199
44.206895,46,6352.695326
246.334071,251,6361.086606
311.130092,316,6371.696808
490.834448,500,6388.213721
339.264541,347,6399.839628
141.174649,145,6404.746261
60.092614,62,6406.808922
133.704615,137,6411.543666
336.736728,343,6422.857048
34.206664,36,6424.091521
417.541677,426,6438.076985
488.716435,500,6454.500141
223.583175,228,6462.172615
191.10594,195,6468.766879
489.894647,500,6485.377549
431.064505,441,6500.144546
133.595326,136,6504.676149
53.933237,56,6506.598174
444.359889,454,6521.693101
99.335017,102,6525.177748
142.738676,146,6529.990623
244.088601,249,6538.19439
346.113977,352,6549.914052
276.672024,282,6559.243083
490.171193,500,6575.744369
490.989837,500,6592.385153
183.754981,188,6598.698146
51.045876,53,6600.479534
216.131605,221,6607.745726
493.346231,500,6624.202124
74.551414,77,6626.921085
489.160346,500,6643.563008
101.948199,105,6647.047655
492.259124,500,6663.76771
219.118777,224,6671.112033
155.660184,159,6676.424948
99.209093,102,6679.761852
488.20659,500,6696.544409
196.248275,200,6703.263683
143.758987,147,6708.139063
80.458297,83,6710.983036
156.89018,161,6716.327202
283.520485,289,6725.9217
490.206516,500,6742.735511
54.113493,56,6744.579406
93.171713,96,6747.829659
181.011785,185,6753.986389
490.084133,500,6770.565807
351.122444,358,6782.301098
116.120096,119,6786.270157
479.699118,489,6802.427756
491.101709,500,6819.054054
489.762771,500,6835.47721
489.390752,500,6851.947243
490.083885,500,6868.511035
489.303554,500,6884.871686
128.626096,132,6889.309533
490.639842,500,6905.592053
491.474706,500,6922.216402
271.124265,276,6931.467124
39.20295,41,6932.810979
165.89763,170,6938.420791
113.023694,116,6942.233589
331.262239,338,6953.531345
469.213514,479,6969.407584
227.509343,232,6977.173814
419.26464,427,6991.425441
185.69063,190,6997.816565
190.865356,195,7004.317071
80.577365,83,7007.145418
235.141743,240,7015.021031
492.329624,500,7031.569196
275.359821,281,7040.882423
179.343073,184,7046.976649
489.808406,500,7063.774834
156.107871,159,7069.025244
380.380368,387,7081.744986
223.683039,228,7089.37058
382.49568,389,7102.184079
151.16383,155,7107.528246
63.894428,66,7109.731543
407.375092,414,7123.216969
67.8517,70,7125.560903
236.41843,241,7133.639657
123.561726,126,7137.874364
470.185166,480,7153.656844
14.686808,16,7154.188135
263.391896,269,7163.126333
355.161202,363,7175.174147
97.219223,100,7178.533786
408.111303,416,7192.581754
174.460032,179,7198.550971
488.232139,500,7215.021005
491.920295,500,7231.631676
80.658852,83,7234.335012
390.171812,397,7247.476662
478.911156,490,7263.524788
326.695167,333,7274.51002
76.37652,78,7277.103972
216.989026,221,7284.384698
424.394285,431,7298.573305
53.049818,55,7300.385947
45.373928,47,7301.964195
179.815675,183,7308.230307
243.588092,248,7316.480952
111.889669,115,7320.199991
163.118324,166,7325.731672
491.908798,500,7342.217333
255.804875,261,7350.858633
98.472749,101,7354.21827
491.507012,500,7370.625799
34.386767,36,7371.875896
130.215243,134,7376.313743
31.500185,33,7377.485709
142.983755,147,7382.345463
174.163172,178,7388.174042
126.145317,129,7392.408748
366.987044,374,7404.690956
